Ciment (%),Argile (%),Alumine (%),Silice (%),Chamotte (%),Conductivite thermique (W/m.K),Resistance Mecanique (MPa)
11.08,7.85,38.84,24.9,17.32,0.42,22.07
10.87,8.46,39.43,24.05,17.19,0.42,22.07
12.38,7.83,39.13,23.19,17.48,0.42,22.07
9.92,8.56,39.49,25.55,16.49,0.42,22.07
9.09,7.95,39.28,26.18,17.5,0.42,22.07
8.85,8.51,39.45,26.32,16.86,0.42,22.07
11.2,8.37,38.81,24.19,17.42,0.42,22.07
8.88,8.16,39.65,26.49,16.81,0.42,22.07
10.52,8.05,39.47,24.62,17.33,0.42,22.07
12.43,8.73,38.44,23.49,16.91,0.42,22.07
9.79,8.69,37.76,26.4,17.36,0.42,22.07
9.84,7.63,38.86,26.44,17.23,0.42,22.07
8.03,8.48,39.7,26.33,17.45,0.42,22.07
9.54,7.58,39.14,26.74,17.0,0.42,22.07
10.95,8.53,39.17,24.32,17.02,0.42,22.07
8.47,8.36,39.88,25.88,17.4,0.42,22.07
12.42,7.79,38.54,24.93,16.32,0.42,22.07
9.07,8.05,39.37,26.96,16.56,0.42,22.07
10.31,8.27,39.63,24.53,17.26,0.42,22.07
11.97,8.25,39.04,24.3,16.45,0.42,22.07
9.49,8.26,39.78,25.02,17.44,0.42,22.07
9.95,7.79,39.54,25.62,17.09,0.42,22.07
11.72,8.61,38.44,23.73,17.5,0.42,22.07
8.86,8.74,39.4,26.33,16.66,0.42,22.07
11.72,8.45,39.15,23.78,16.9,0.42,22.07
9.38,7.8,40.0,25.38,17.44,0.42,22.07
10.7,8.67,38.97,24.22,17.45,0.42,22.07
9.87,7.67,39.1,26.31,17.05,0.42,22.07
12.02,8.02,39.84,22.71,17.41,0.42,22.07
11.55,8.62,39.38,23.54,16.92,0.42,22.07
8.32,8.09,39.7,26.87,17.02,0.42,22.07
9.73,8.74,38.47,24.38,18.68,0.42,22.03
9.34,8.57,38.75,24.62,18.71,0.42,22.03
8.89,8.58,39.95,24.06,18.53,0.42,22.03
9.81,8.47,39.13,24.95,17.64,0.42,22.03
9.83,8.59,39.83,23.04,18.7,0.42,22.03
8.91,8.04,39.81,24.77,18.47,0.42,22.03
9.65,8.63,39.81,24.14,17.77,0.42,22.03
9.65,8.34,39.94,24.1,17.98,0.42,22.03
9.44,8.23,39.48,24.81,18.02,0.42,22.03
9.83,8.44,39.92,24.2,17.62,0.42,22.03
9.88,7.66,39.89,24.95,17.62,0.42,22.03
9.57,7.95,39.47,24.9,18.1,0.42,22.03
9.37,6.82,45.0,22.29,16.24,0.43,23.86
9.41,6.93,45.0,21.87,16.19,0.43,23.86
9.87,6.51,45.0,22.22,16.08,0.43,23.86
10.87,7.01,45.0,20.75,15.69,0.43,23.83
10.58,6.95,44.86,21.89,15.71,0.43,23.83
10.45,6.37,45.0,22.16,15.63,0.43,23.83
11.88,7.3,43.15,21.69,15.97,0.43,23.83
10.02,6.73,45.0,22.01,15.85,0.43,23.83
11.56,6.32,43.61,22.42,16.08,0.43,23.83
10.93,7.24,44.11,22.14,15.58,0.43,23.83
11.07,7.26,42.99,22.45,16.24,0.43,23.83
11.56,6.63,43.52,22.31,15.97,0.43,23.83
12.12,7.39,43.7,20.97,15.83,0.43,23.83
5.55,7.7,42.6,27.87,16.28,0.43,23.61
10.28,7.58,40.23,25.41,16.5,0.43,22.1
10.17,7.53,40.71,23.22,18.37,0.43,22.06
11.48,7.81,40.32,22.59,17.8,0.43,22.06
11.2,7.77,40.12,22.94,17.98,0.43,22.06
10.52,8.19,40.63,23.11,17.55,0.43,22.06
10.02,8.24,40.37,23.64,17.73,0.43,22.06
10.5,8.49,40.11,23.34,17.56,0.43,22.06
10.34,8.01,40.01,23.16,18.48,0.43,22.06
10.87,8.04,40.48,22.84,17.78,0.43,22.06
10.6,8.6,40.69,22.58,17.53,0.43,22.06
10.69,8.52,40.02,23.14,17.63,0.43,22.06
10.3,7.73,40.75,23.65,17.57,0.43,22.06
10.51,7.81,40.59,23.31,17.78,0.43,22.06
11.28,7.83,40.4,22.91,17.59,0.43,22.06
10.27,7.52,41.09,23.21,17.91,0.43,22.06
10.59,7.73,40.09,23.35,18.24,0.43,22.06
10.73,7.78,40.68,22.97,17.83,0.43,22.06
11.1,7.58,40.1,22.89,18.33,0.43,22.06
10.44,8.75,38.29,25.17,17.34,0.43,22.04
11.34,8.1,37.53,26.77,16.26,0.43,22.04
11.39,8.01,38.43,25.38,16.8,0.43,22.04
10.32,8.01,38.83,26.11,16.72,0.43,22.04
10.89,7.82,37.94,26.33,17.02,0.43,22.04
10.56,7.85,39.26,25.14,17.19,0.43,22.04
11.17,7.79,38.61,25.41,17.02,0.43,22.04
10.51,7.74,38.44,26.48,16.82,0.43,22.04
11.95,7.53,37.88,25.91,16.73,0.43,22.04
11.36,8.15,38.5,25.19,16.81,0.43,22.04
10.57,8.24,39.14,25.57,16.48,0.43,22.04
10.17,7.76,37.86,27.28,16.93,0.43,22.04
10.04,7.8,39.1,26.05,17.02,0.43,22.04
10.18,8.39,38.36,26.48,16.59,0.43,22.04
11.19,7.86,39.11,25.05,16.78,0.43,22.04
10.43,8.4,37.72,26.22,17.23,0.43,22.04
11.16,8.55,37.56,26.0,16.73,0.43,22.04
11.47,8.22,38.1,25.64,16.57,0.43,22.04
11.28,8.0,37.86,26.37,16.49,0.43,22.04
10.69,8.4,38.28,26.27,16.37,0.43,22.04
10.25,7.82,38.85,25.62,17.46,0.43,22.04
11.5,7.6,38.25,25.49,17.17,0.43,22.04
10.36,7.72,38.82,25.63,17.48,0.43,22.04
11.51,8.32,37.63,25.99,16.55,0.43,22.04
10.07,8.22,39.2,25.28,17.23,0.43,22.04
10.95,7.71,38.49,26.51,16.34,0.43,22.04
10.67,8.53,38.26,26.13,16.42,0.43,22.04
10.83,8.29,37.91,26.51,16.46,0.43,22.04
11.09,7.79,38.84,25.68,16.61,0.43,22.04
10.84,7.55,37.99,26.19,17.43,0.43,22.04
11.66,8.53,37.6,25.06,17.16,0.43,22.04
10.94,8.5,38.94,25.15,16.47,0.43,22.04
10.58,8.5,38.67,25.22,17.02,0.43,22.04
11.4,8.48,37.56,26.3,16.27,0.43,22.04
10.37,7.83,37.75,26.67,17.38,0.43,22.04
10.85,7.78,38.86,25.25,17.27,0.43,22.04
10.6,8.68,38.6,25.59,16.52,0.43,22.04
11.63,8.35,38.36,25.18,16.48,0.43,22.04
10.53,7.92,38.41,26.84,16.31,0.43,22.04
10.16,7.61,39.94,25.18,17.11,0.43,22.04
10.52,7.94,38.48,26.25,16.81,0.43,22.04
11.3,8.09,38.18,25.76,16.67,0.43,22.04
11.41,7.95,38.37,25.22,17.05,0.43,22.04
10.13,8.73,39.1,25.59,16.45,0.43,22.04
10.27,8.25,37.77,26.33,17.39,0.43,22.04
10.88,7.6,38.69,25.91,16.92,0.43,22.04
10.09,7.55,38.9,26.51,16.95,0.43,22.04
10.37,7.51,38.88,26.73,16.51,0.43,22.04
10.75,8.11,37.6,26.79,16.75,0.43,22.04
10.45,8.01,38.6,26.32,16.63,0.43,22.04
11.72,8.06,38.57,25.12,16.54,0.43,22.04
10.58,7.82,38.61,25.92,17.07,0.43,22.04
10.14,8.09,39.05,25.78,16.94,0.43,22.04
11.6,7.64,38.81,25.65,16.3,0.43,22.04
10.78,8.54,38.69,25.39,16.6,0.43,22.04
10.65,8.16,38.79,26.1,16.3,0.43,22.04
11.43,8.52,37.76,25.37,16.92,0.43,22.04
10.53,8.07,39.7,23.54,18.16,0.43,22.01
12.05,8.08,38.49,23.56,17.81,0.43,22.01
11.16,8.39,38.14,24.19,18.12,0.43,22.01
11.0,8.7,39.27,23.27,17.75,0.43,22.01
12.05,7.71,37.86,24.47,17.91,0.43,22.01
10.75,8.16,38.34,24.29,18.46,0.43,22.01
11.1,8.43,39.04,23.42,18.0,0.43,22.01
11.4,8.54,39.21,23.11,17.74,0.43,22.01
11.85,8.62,38.38,23.09,18.07,0.43,22.01
10.58,7.81,39.54,24.05,18.02,0.43,22.01
10.84,8.56,39.49,22.8,18.32,0.43,22.01
11.45,8.68,38.08,23.28,18.52,0.43,22.01
10.48,7.9,39.62,23.93,18.06,0.43,22.01
11.47,8.08,39.02,23.86,17.58,0.43,22.01
10.83,7.59,39.14,24.38,18.06,0.43,22.01
11.48,7.79,37.72,24.62,18.39,0.43,22.01
11.01,8.21,38.13,24.98,17.66,0.43,22.01
12.21,7.73,39.97,22.53,17.57,0.43,22.01
10.24,8.41,39.66,23.92,17.77,0.43,22.01
11.73,8.37,39.22,22.72,17.95,0.43,22.01
11.37,7.92,39.96,22.7,18.05,0.43,22.01
10.94,8.14,39.51,23.29,18.13,0.43,22.01
11.0,8.35,37.88,24.69,18.08,0.43,22.01
12.33,8.37,37.97,23.16,18.16,0.43,22.01
10.43,8.73,38.08,24.98,17.77,0.43,22.01
11.58,8.44,38.6,23.74,17.65,0.43,22.01
11.63,7.82,39.38,23.65,17.52,0.43,22.01
11.31,7.69,39.56,23.12,18.32,0.43,22.01
10.74,8.24,38.12,24.24,18.67,0.43,22.01
11.63,7.78,39.07,23.62,17.89,0.43,22.01
11.34,8.11,39.31,23.17,18.07,0.43,22.01
11.71,7.99,38.32,24.41,17.56,0.43,22.01
11.49,8.6,38.3,24.0,17.61,0.43,22.01
10.79,8.37,39.52,23.21,18.11,0.43,22.01
10.82,8.73,38.94,23.88,17.63,0.43,22.01
11.23,8.73,39.07,22.7,18.27,0.43,22.01
11.11,8.53,38.11,24.3,17.95,0.43,22.01
11.61,8.32,39.31,22.94,17.83,0.43,22.01
10.12,8.44,38.41,24.47,18.56,0.43,22.01
12.33,7.55,38.32,24.17,17.64,0.43,22.01
11.21,7.95,38.24,24.68,17.93,0.43,22.01
11.28,8.06,39.09,23.53,18.03,0.43,22.01
11.47,7.85,39.57,23.54,17.56,0.43,22.01
11.19,8.06,39.54,23.66,17.54,0.43,22.01
11.5,7.67,38.88,23.96,17.99,0.43,22.01
11.19,8.54,38.64,23.42,18.21,0.43,22.01
11.56,8.63,37.95,23.68,18.18,0.43,22.01
12.43,8.36,37.52,23.13,18.56,0.43,22.01
11.56,8.34,38.36,23.34,18.4,0.43,22.01
12.41,8.73,38.11,22.93,17.83,0.43,22.01
10.69,7.87,39.21,24.15,18.09,0.43,22.01
10.45,7.64,39.99,23.49,18.44,0.43,22.01
11.94,7.82,39.69,22.76,17.8,0.43,22.01
12.15,8.27,38.01,23.93,17.63,0.43,22.01
7.72,7.56,40.08,26.71,17.93,0.44,22.04
7.97,8.35,40.08,25.32,18.28,0.44,22.04
8.7,7.96,40.17,25.59,17.59,0.44,22.04
8.13,7.99,40.82,25.15,17.91,0.44,22.04
8.32,7.93,40.05,25.97,17.73,0.44,22.04
8.29,7.73,40.12,26.18,17.67,0.44,22.04
8.12,8.32,40.38,25.11,18.07,0.44,22.04
8.83,7.75,40.1,25.58,17.72,0.44,22.04
7.97,8.68,39.02,25.88,18.46,0.44,21.98
8.47,8.36,39.66,25.36,18.15,0.44,21.98
8.99,8.64,39.21,25.21,17.95,0.44,21.98
9.12,8.38,39.61,25.33,17.56,0.44,21.98
9.39,8.29,38.25,26.47,17.6,0.44,21.98
8.6,7.95,38.76,26.15,18.55,0.44,21.98
9.79,7.75,37.84,26.07,18.55,0.44,21.98
9.74,8.51,38.06,25.76,17.93,0.44,21.98
9.37,8.37,38.99,25.73,17.55,0.44,21.98
9.02,7.72,39.44,25.82,18.0,0.44,21.98
9.44,8.06,38.44,26.48,17.58,0.44,21.98
8.15,8.58,38.28,27.04,17.95,0.44,21.98
9.19,7.87,38.71,26.56,17.67,0.44,21.98
9.21,8.3,38.46,26.06,17.97,0.44,21.98
8.89,8.45,38.34,26.06,18.25,0.44,21.98
7.52,7.8,39.93,26.84,17.91,0.44,21.98
9.35,7.7,38.58,25.98,18.38,0.44,21.98
8.07,8.12,38.91,26.62,18.27,0.44,21.98
9.79,8.07,38.37,25.99,17.78,0.44,21.98
8.09,8.1,39.14,26.87,17.8,0.44,21.98
8.26,7.65,39.67,26.46,17.96,0.44,21.98
8.06,8.15,39.78,26.36,17.64,0.44,21.98
7.91,8.43,38.88,27.05,17.72,0.44,21.98
8.81,8.41,38.52,25.91,18.35,0.44,21.98
8.93,7.56,38.56,26.93,18.01,0.44,21.98
8.81,8.38,38.7,26.39,17.72,0.44,21.98
9.09,8.01,38.92,25.76,18.22,0.44,21.98
7.87,8.58,39.63,25.95,17.97,0.44,21.98
9.02,8.54,38.05,25.69,18.7,0.44,21.98
8.04,7.57,39.7,26.89,17.8,0.44,21.98
8.28,8.75,38.73,26.53,17.71,0.44,21.98
8.51,8.59,38.5,26.4,18.0,0.44,21.98
9.38,7.61,37.79,27.17,18.05,0.44,21.98
9.29,8.31,37.92,26.48,18.0,0.44,21.98
8.76,8.04,38.63,25.88,18.69,0.44,21.98
9.42,7.68,38.04,26.69,18.17,0.44,21.98
8.74,8.53,39.15,25.31,18.26,0.44,21.98
9.69,8.37,39.13,25.12,17.7,0.44,21.98
9.51,7.64,38.78,26.43,17.64,0.44,21.98
7.82,7.93,39.89,26.31,18.05,0.44,21.98
8.61,7.53,38.22,26.89,18.75,0.44,21.98
9.06,8.63,37.74,26.44,18.13,0.44,21.98
7.62,7.87,38.89,27.16,18.46,0.44,21.98
9.0,7.52,37.8,27.2,18.49,0.44,21.98
8.84,7.97,39.38,26.18,17.63,0.44,21.98
8.59,8.28,39.68,25.81,17.64,0.44,21.98
8.32,8.22,38.89,25.89,18.67,0.44,21.98
9.56,7.8,37.99,26.23,18.42,0.44,21.98
9.79,7.85,39.24,25.5,17.61,0.44,21.98
8.6,7.6,38.69,27.5,17.61,0.44,21.98
7.9,7.71,39.81,26.49,18.09,0.44,21.98
8.8,7.93,39.88,25.51,17.88,0.44,21.98
9.7,8.28,37.54,26.47,18.02,0.44,21.98
8.89,8.36,39.16,25.83,17.76,0.44,21.98
5.0,8.26,42.56,28.47,15.72,0.45,23.81
5.43,7.79,43.24,28.17,15.37,0.45,23.81
5.51,8.1,43.34,28.05,15.0,0.45,23.81
5.29,8.15,43.08,27.98,15.5,0.45,23.81
5.15,7.85,42.74,28.08,16.18,0.45,23.81
9.27,7.02,44.04,21.76,17.9,0.45,23.43
9.39,6.68,44.41,20.8,18.72,0.45,23.43
9.12,6.65,44.36,22.22,17.65,0.45,23.43
8.42,7.14,43.44,22.3,18.71,0.45,23.43
9.55,7.31,43.02,22.2,17.92,0.45,23.43
8.92,7.23,44.03,21.84,17.99,0.45,23.43
9.82,7.23,44.47,20.78,17.69,0.45,23.43
9.34,6.52,43.78,22.42,17.93,0.45,23.43
8.41,6.41,45.0,21.84,17.63,0.45,23.43
9.18,7.29,42.6,22.18,18.75,0.45,23.43
9.55,6.81,43.45,21.88,18.32,0.45,23.43
8.33,7.0,44.25,22.1,18.31,0.45,23.43
8.24,6.82,45.0,20.79,18.19,0.45,23.43
9.91,6.28,44.08,21.4,18.33,0.45,23.43
8.01,6.82,45.0,21.55,17.94,0.45,23.43
8.24,6.97,44.97,21.75,18.07,0.45,23.43
9.97,6.94,43.73,21.47,17.88,0.45,23.43
9.12,7.45,44.3,20.91,18.22,0.45,23.43
8.79,6.46,44.61,22.32,17.83,0.45,23.43
10.04,6.58,43.85,20.83,18.7,0.45,23.41
9.24,9.27,40.16,24.28,17.05,0.45,23.41
8.68,9.11,41.15,24.72,16.34,0.45,23.41
9.04,9.47,40.51,24.22,16.76,0.45,23.41
8.04,9.8,41.32,24.48,16.36,0.45,23.41
7.89,9.52,41.89,24.08,16.63,0.45,23.41
10.41,7.03,42.91,21.61,18.04,0.45,23.41
11.65,7.49,43.01,20.0,18.17,0.45,23.41
10.6,7.29,43.19,20.35,18.57,0.45,23.41
8.32,10.0,40.23,24.65,16.73,0.45,23.41
9.61,8.83,41.09,23.0,17.47,0.45,23.41
10.34,7.46,42.68,21.13,18.38,0.45,23.41
9.1,9.07,41.31,24.06,16.46,0.45,23.41
8.63,10.0,40.3,23.55,17.25,0.45,23.41
9.62,9.61,41.25,22.84,16.68,0.45,23.41
9.0,9.53,40.15,24.77,16.55,0.45,23.41
7.92,10.0,41.4,23.44,16.58,0.45,23.41
10.16,7.17,44.05,20.84,17.78,0.45,23.41
10.32,7.24,42.89,21.89,17.67,0.45,23.41
9.31,9.67,40.7,23.26,17.06,0.45,23.41
9.56,10.0,40.6,22.78,16.62,0.45,23.41
10.13,6.98,42.66,22.33,17.9,0.45,23.41
9.03,9.47,41.08,23.88,16.54,0.45,23.41
9.12,8.8,42.03,22.56,17.49,0.45,23.41
9.54,9.08,40.61,24.05,16.72,0.45,23.41
10.77,6.55,42.57,21.56,18.54,0.45,23.41
10.4,6.59,43.06,21.5,18.46,0.45,23.41
8.61,10.0,40.67,23.68,16.4,0.45,23.41
9.59,10.0,40.05,22.67,16.98,0.45,23.41
9.44,9.24,40.72,24.13,16.47,0.45,23.41
10.55,6.52,43.22,21.85,17.86,0.45,23.41
9.47,8.91,40.65,24.16,16.81,0.45,23.41
10.17,7.29,42.87,21.3,18.37,0.45,23.41
9.09,9.33,41.84,23.43,16.31,0.45,23.41
9.77,9.38,41.24,23.29,16.32,0.45,23.41
10.62,6.76,43.91,20.49,18.21,0.45,23.41
8.68,9.75,40.38,24.4,16.8,0.45,23.41
10.3,6.55,44.07,21.46,17.61,0.45,23.41
8.26,10.0,41.11,23.77,16.78,0.45,23.41
11.47,7.33,43.38,20.0,18.02,0.45,23.41
7.63,10.0,41.72,23.91,16.55,0.45,23.41
9.05,9.11,41.72,22.99,17.12,0.45,23.41
8.23,9.44,40.61,24.57,17.16,0.45,23.41
7.89,9.25,41.61,24.49,16.76,0.45,23.41
9.04,9.83,41.57,22.78,16.78,0.45,23.41
9.38,10.0,40.35,22.74,17.42,0.45,23.41
8.78,8.88,41.78,23.22,17.34,0.45,23.41
9.94,8.98,39.47,24.54,17.07,0.45,23.36
9.46,9.34,39.43,24.91,16.86,0.45,23.36
9.75,9.96,39.76,23.88,16.64,0.45,23.36
9.41,9.4,39.36,24.67,17.17,0.45,23.36
8.65,10.0,39.1,24.22,17.11,0.45,23.36
9.38,10.0,39.7,22.77,17.06,0.45,23.36
9.69,9.49,39.65,24.16,17.01,0.45,23.36
8.32,10.0,39.24,24.98,17.27,0.45,23.36
9.83,9.42,39.39,23.98,17.38,0.45,23.36
9.38,9.87,39.77,24.46,16.52,0.45,23.36
9.94,10.0,39.08,23.91,17.05,0.45,23.36
9.46,9.53,39.27,24.52,17.22,0.45,23.36
9.05,10.0,39.25,25.0,16.52,0.45,23.36
9.58,10.0,38.48,24.46,17.48,0.45,23.36
8.08,10.0,39.67,24.76,16.78,0.45,23.36
9.38,9.71,39.74,24.91,16.27,0.45,23.36
9.54,9.45,39.46,24.41,17.14,0.45,23.36
9.45,10.0,39.08,24.79,16.58,0.45,23.36
8.94,9.9,39.25,24.82,17.09,0.45,23.36
8.46,9.76,39.74,24.8,17.23,0.45,23.36
10.0,9.54,39.84,24.1,16.52,0.45,23.36
7.94,10.0,39.55,24.67,17.43,0.45,23.36
10.67,9.23,40.05,23.0,17.05,0.45,23.33
10.13,9.67,40.5,23.04,16.65,0.45,23.33
10.31,10.0,40.32,22.82,16.48,0.45,23.33
10.54,9.25,40.73,22.63,16.86,0.45,23.33
11.04,9.47,40.06,23.01,16.42,0.45,23.33
10.35,9.03,40.43,22.89,17.3,0.45,23.33
11.26,9.22,40.16,23.08,16.29,0.45,23.33
10.29,8.92,40.22,23.94,16.64,0.45,23.33
10.67,8.8,40.66,23.06,16.81,0.45,23.33
10.85,9.08,40.07,22.8,17.19,0.45,23.33
10.42,8.84,41.46,22.58,16.7,0.45,23.33
10.63,9.04,39.52,24.04,16.77,0.45,23.28
11.87,9.36,38.47,23.53,16.77,0.45,23.28
12.3,9.24,38.27,23.15,17.03,0.45,23.28
11.12,9.52,39.55,22.54,17.27,0.45,23.28
12.03,9.78,38.43,23.45,16.32,0.45,23.28
12.44,9.28,38.9,22.73,16.65,0.45,23.28
10.91,9.15,39.44,23.69,16.81,0.45,23.28
12.34,9.31,38.34,23.73,16.28,0.45,23.28
11.35,9.27,39.15,23.37,16.85,0.45,23.28
11.36,8.81,38.61,24.6,16.63,0.45,23.28
11.56,9.24,37.53,24.76,16.91,0.45,23.28
11.28,9.05,38.43,24.55,16.69,0.45,23.28
11.4,9.16,39.26,23.33,16.85,0.45,23.28
11.94,9.02,38.97,22.98,17.09,0.45,23.28
11.77,9.41,38.01,24.18,16.62,0.45,23.28
10.45,9.06,38.83,24.82,16.85,0.45,23.28
10.84,10.0,39.1,23.16,16.86,0.45,23.28
10.9,10.0,39.05,22.69,17.22,0.45,23.28
10.25,10.0,38.66,24.53,16.3,0.45,23.28
11.25,9.89,38.3,23.82,16.73,0.45,23.28
11.51,8.93,40.0,22.58,16.97,0.45,23.28
10.21,9.53,38.8,24.26,17.21,0.45,23.28
11.84,8.97,37.53,24.43,17.22,0.45,23.28
12.42,9.66,37.93,22.72,17.26,0.45,23.28
10.19,9.71,38.57,24.06,17.48,0.45,23.28
12.03,9.7,37.74,23.83,16.71,0.45,23.28
11.63,8.77,39.55,23.58,16.46,0.45,23.28
12.23,9.21,39.39,22.87,16.3,0.45,23.28
11.64,8.8,37.78,24.97,16.82,0.45,23.28
10.07,8.92,39.14,24.76,17.11,0.45,23.28
12.48,8.84,38.88,22.66,17.14,0.45,23.28
12.46,9.09,39.02,22.74,16.69,0.45,23.28
10.29,9.49,39.76,23.31,17.15,0.45,23.28
11.47,9.38,38.81,23.99,16.35,0.45,23.28
12.02,8.85,38.97,23.48,16.68,0.45,23.28
11.68,9.07,39.05,23.8,16.39,0.45,23.28
11.59,8.9,38.04,24.88,16.6,0.45,23.28
11.98,8.98,38.66,23.11,17.28,0.45,23.28
10.97,9.43,38.52,24.47,16.61,0.45,23.28
10.58,9.21,39.88,23.24,17.1,0.45,23.28
10.9,9.54,38.01,24.36,17.2,0.45,23.28
11.5,9.01,39.18,22.98,17.33,0.45,23.28
12.13,8.88,39.23,23.01,16.74,0.45,23.28
12.39,8.8,39.03,22.67,17.11,0.45,23.28
10.68,9.15,39.91,23.36,16.89,0.45,23.28
11.18,8.86,38.47,24.68,16.81,0.45,23.28
11.7,8.79,37.91,24.65,16.95,0.45,23.28
11.34,9.09,38.09,24.43,17.05,0.45,23.28
12.2,9.98,37.87,23.66,16.28,0.45,23.28
11.25,9.75,37.53,24.28,17.19,0.45,23.28
10.35,10.0,39.09,23.26,17.02,0.45,23.28
11.8,8.77,38.65,23.71,17.07,0.45,23.28
12.05,9.01,38.99,22.92,17.03,0.45,23.28
11.81,8.84,38.99,24.07,16.3,0.45,23.28
10.43,7.65,38.6,25.31,18.01,0.45,21.96
11.78,7.94,37.54,25.17,17.58,0.45,21.96
10.93,7.84,38.07,25.03,18.13,0.45,21.96
10.21,7.53,38.6,25.73,17.94,0.45,21.96
10.71,7.68,37.65,26.32,17.64,0.45,21.96
10.24,7.59,38.64,25.6,17.93,0.45,21.96
10.67,7.58,38.96,25.07,17.72,0.45,21.96
10.43,7.8,38.21,26.02,17.55,0.45,21.96
7.31,6.99,42.49,27.41,15.81,0.45,21.94
5.15,9.12,42.84,27.88,15.01,0.46,24.65
5.43,9.05,42.55,28.26,15.0,0.46,24.65
8.17,8.91,41.26,25.25,16.41,0.46,23.38
8.36,8.81,40.24,26.25,16.34,0.46,23.38
8.73,8.87,40.83,25.14,16.43,0.46,23.38
7.69,9.92,40.56,25.04,16.78,0.46,23.38
8.11,8.86,40.47,25.69,16.88,0.46,23.38
7.86,9.12,40.67,25.23,17.11,0.46,23.38
7.7,8.85,41.6,25.11,16.74,0.46,23.38
8.67,9.28,40.28,25.5,16.27,0.46,23.38
8.57,8.97,40.55,25.03,16.88,0.46,23.38
8.87,8.98,40.5,25.13,16.52,0.46,23.38
9.01,9.06,40.92,23.35,17.65,0.46,23.32
9.29,8.9,39.58,25.66,16.57,0.46,23.32
8.16,10.0,40.07,23.17,18.31,0.46,23.32
8.92,8.79,39.6,25.72,16.96,0.46,23.32
7.71,9.1,41.23,23.98,17.99,0.46,23.32
7.57,9.14,39.76,27.05,16.48,0.46,23.32
7.9,9.29,37.9,27.49,17.42,0.46,23.32
9.38,8.82,40.49,23.59,17.73,0.46,23.32
8.27,9.41,39.2,26.74,16.38,0.46,23.32
8.3,9.29,38.92,26.8,16.68,0.46,23.32
7.94,8.93,41.35,23.77,18.01,0.46,23.32
7.79,10.0,38.77,25.96,17.48,0.46,23.32
8.31,8.83,39.27,26.12,17.47,0.46,23.32
8.91,8.88,40.29,23.48,18.43,0.46,23.32
9.22,9.37,38.95,25.12,17.34,0.46,23.32
8.17,9.43,41.31,22.57,18.51,0.46,23.32
9.51,9.29,38.64,25.26,17.3,0.46,23.32
9.11,9.26,39.21,25.71,16.69,0.46,23.32
7.54,8.87,42.4,23.21,17.98,0.46,23.32
9.09,9.59,38.54,26.39,16.4,0.46,23.32
7.54,10.0,40.25,23.83,18.09,0.46,23.32
9.25,8.85,38.04,27.04,16.82,0.46,23.32
7.78,9.38,39.58,26.04,17.22,0.46,23.32
9.58,9.72,39.05,25.1,16.56,0.46,23.32
8.95,8.91,40.37,23.51,18.27,0.46,23.32
7.93,10.0,38.72,26.26,16.88,0.46,23.32
7.94,9.16,40.95,23.67,18.27,0.46,23.32
9.23,9.6,38.7,25.47,16.99,0.46,23.32
7.91,8.78,39.32,27.43,16.56,0.46,23.32
7.75,9.9,39.46,25.54,17.34,0.46,23.32
8.83,9.02,40.83,23.19,18.13,0.46,23.32
7.95,10.0,38.57,26.24,16.98,0.46,23.32
8.19,10.0,38.7,25.97,16.84,0.46,23.32
7.72,9.57,38.94,26.28,17.49,0.46,23.32
8.96,9.01,38.36,27.16,16.5,0.46,23.32
8.02,9.28,41.43,23.63,17.63,0.46,23.32
7.99,9.14,38.8,26.56,17.5,0.46,23.32
9.02,9.27,40.88,23.19,17.65,0.46,23.32
8.53,9.16,39.93,25.89,16.49,0.46,23.32
7.59,9.04,39.7,26.17,17.5,0.46,23.32
8.35,9.77,40.21,23.06,18.6,0.46,23.32
7.7,9.96,39.39,26.31,16.64,0.46,23.32
8.8,9.41,40.54,23.21,18.04,0.46,23.32
9.18,8.85,38.65,26.7,16.62,0.46,23.32
8.72,9.23,40.57,22.94,18.55,0.46,23.32
8.07,9.0,38.73,26.93,17.28,0.46,23.32
8.33,9.13,40.24,24.62,17.69,0.46,23.32
8.04,8.94,39.74,26.2,17.08,0.46,23.32
9.33,10.0,37.85,25.79,16.7,0.46,23.32
8.42,9.75,40.4,22.69,18.74,0.46,23.32
7.93,9.17,41.97,22.87,18.06,0.46,23.32
8.93,8.89,39.78,25.18,17.22,0.46,23.32
8.96,9.69,40.21,23.2,17.94,0.46,23.32
8.02,9.67,41.22,22.6,18.5,0.46,23.32
9.41,9.04,40.27,23.32,17.96,0.46,23.32
9.97,8.8,41.11,22.59,17.53,0.46,23.32
9.65,8.98,40.66,22.51,18.21,0.46,23.32
8.24,9.6,39.99,25.68,16.49,0.46,23.32
8.13,10.0,39.28,26.06,16.46,0.46,23.32
9.0,9.43,40.1,23.27,18.2,0.46,23.32
7.88,9.32,39.98,25.7,17.12,0.46,23.32
8.61,9.39,41.05,23.31,17.65,0.46,23.32
9.39,8.77,39.01,25.67,17.16,0.46,23.32
9.7,8.96,40.58,23.03,17.73,0.46,23.32
7.57,9.03,40.66,24.0,18.75,0.46,23.32
8.81,10.0,38.69,25.01,16.91,0.46,23.32
8.54,8.99,39.08,26.12,17.27,0.46,23.32
7.76,9.97,38.44,27.46,16.37,0.46,23.32
7.79,9.87,40.29,23.39,18.67,0.46,23.32
7.7,10.0,39.11,26.15,16.62,0.46,23.32
